True: Accepted
time=1661421738.8486717 gym-duckietown 2019.0.0

time=1661421739.1100633 Registering gym environment id: Duckietown-4way-v0
time=1661421739.1102078 Registering gym environment id: Duckietown-loop_dyn_duckiebots-v0
time=1661421739.1104004 Registering gym environment id: Duckietown-loop_empty-v0
time=1661421739.110508 Registering gym environment id: Duckietown-loop_obstacles-v0
time=1661421739.1106174 Registering gym environment id: Duckietown-loop_pedestrians-v0
time=1661421739.1107256 Registering gym environment id: Duckietown-small_loop-v0
time=1661421739.1108303 Registering gym environment id: Duckietown-small_loop_cw-v0
time=1661421739.1109202 Registering gym environment id: Duckietown-straight_road-v0
time=1661421739.110991 Registering gym environment id: Duckietown-straight_road_10_tiles_no_start_tile-v0
time=1661421739.111093 Registering gym environment id: Duckietown-straight_road_no_start_tile-v0
time=1661421739.1111803 Registering gym environment id: Duckietown-straight_road_trafficlight-v0
time=1661421739.1113 Registering gym environment id: Duckietown-straight_road_with_side_floor-v0
time=1661421739.1114173 Registering gym environment id: Duckietown-udem1-v0
time=1661421739.111522 Registering gym environment id: Duckietown-zigzag_dists-v0
time=1661421740.915022 Falling back to non-multisampled frame buffer
time=1661421740.919406 Falling back to non-multisampled frame buffer
time=1661421740.9236674 loading map file "/home/appuser/aido-auto/gym-duckietown/gym_duckietown/maps/straight_road_with_side_floor.yaml"
time=1661421740.935096 loading mesh "duckiebot.obj"
time=1661421740.9353738 loading materials from "/home/appuser/aido-auto/gym-duckietown/gym_duckietown/meshes/duckiebot.mtl"
time=1661421741.3485277 loading texture "floor_1.png"
time=1661421741.4521694 loading texture "straight_1.png"
time=1661421741.4712698 road_tile_size=0.585
time=1661421741.4718094 Starting at [0.2925 0.     0.8775] 0
time=1661421741.4721143 Pos: [0.2925 0.     0.8775] angle 0
time=1661421741.6601672 using DuckietownEnv
/usr/local/lib/python3.6/dist-packages/gym/spaces/box.py:74: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  "Box bound precision lowered by casting to {}".format(self.dtype)
time=1661421741.66133 loading mesh "duckie.obj"
time=1661421741.711415 loading texture "duckie.png"
time=1661421742.3739088 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.4238808 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.4677608 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.5118062 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.5542736 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.597004 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.6395805 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.682695 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.725188 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.7685535 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.8135772 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.8577268 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.8993976 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.9410825 Pos: [0.2925 0.     0.8775] angle 0
time=1661421742.9831016 Pos: [0.2925 0.     0.8775] angle 0
time=1661421743.0275285 Pos: [0.2925 0.     0.8775] angle 0
time=1661421743.0712142 Pos: [0.2925 0.     0.8775] angle 0
time=1661421743.1141431 Pos: [0.2925 0.     0.8775] angle 0
time=1661421743.1574981 Pos: [0.2925 0.     0.8775] angle 0
