False: Execution aborted by timeout\ntime=1655641357.977987 gym-duckietown 2019.0.0

time=1655641358.5940073 Registering gym environment id: Duckietown-4way-v0
time=1655641358.594144 Registering gym environment id: Duckietown-loop_dyn_duckiebots-v0
time=1655641358.5942326 Registering gym environment id: Duckietown-loop_empty-v0
time=1655641358.594322 Registering gym environment id: Duckietown-loop_obstacles-v0
time=1655641358.594407 Registering gym environment id: Duckietown-loop_pedestrians-v0
time=1655641358.5945385 Registering gym environment id: Duckietown-small_loop-v0
time=1655641358.5946305 Registering gym environment id: Duckietown-small_loop_cw-v0
time=1655641358.5947075 Registering gym environment id: Duckietown-straight_road-v0
time=1655641358.59479 Registering gym environment id: Duckietown-straight_road_10_tiles_no_start_tile-v0
time=1655641358.5948672 Registering gym environment id: Duckietown-straight_road_no_start_tile-v0
time=1655641358.5949519 Registering gym environment id: Duckietown-straight_road_trafficlight-v0
time=1655641358.5950336 Registering gym environment id: Duckietown-straight_road_with_side_floor-v0
time=1655641358.595149 Registering gym environment id: Duckietown-udem1-v0
time=1655641358.595258 Registering gym environment id: Duckietown-zigzag_dists-v0
time=1655641361.2601979 Falling back to non-multisampled frame buffer
time=1655641361.265816 Falling back to non-multisampled frame buffer
time=1655641361.2703502 loading map file "/home/appuser/aido-auto/gym-duckietown/gym_duckietown/maps/straight_road_no_start_tile.yaml"
time=1655641361.2791748 loading mesh "duckiebot.obj"
time=1655641361.2794938 loading materials from "/home/appuser/aido-auto/gym-duckietown/gym_duckietown/meshes/duckiebot.mtl"
time=1655641361.6807191 loading texture "straight_1.png"
time=1655641361.7032504 using user tile start: [15, 0]
time=1655641361.704102 tile: {'coords': (15, 0), 'kind': 'straight', 'angle': 1, 'drivable': True, 'curves': array([[[8.775  , 0.     , 0.4095 ],
        [8.92125, 0.     , 0.4095 ],
        [9.21375, 0.     , 0.4095 ],
        [9.36   , 0.     , 0.4095 ]],

       [[9.36   , 0.     , 0.1755 ],
        [9.21375, 0.     , 0.1755 ],
        [8.92125, 0.     , 0.1755 ],
        [8.775  , 0.     , 0.1755 ]]]), 'texture': <gym_duckietown.graphics.Texture object at 0x7f73080f1fd0>, 'color': array([1, 1, 1])}
time=1655641361.7195055 road_tile_size=0.585
time=1655641361.7198944 Starting at [9.18147933 0.         0.3345182 ] 0.5294572558803837
time=1655641361.7202294 Pos: [9.18147933 0.         0.3345182 ] angle 0.5294572558803837
time=1655641361.8821995 using DuckietownEnv
/usr/local/lib/python3.6/dist-packages/gym/spaces/box.py:74: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  "Box bound precision lowered by casting to {}".format(self.dtype)
time=1655641362.098716 Pos: [9.18147933 0.         0.3345182 ] angle 0.5294572558803837
time=1655641362.3679755 Pos: [9.18147933 0.         0.3345182 ] angle 0.5294572558803837
time=1655641362.4477377 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641362.5293436 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641362.6052854 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641362.685708 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641362.744386 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641362.8156803 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641362.8888123 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641362.9565022 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641363.0082247 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641363.0763958 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641363.1520765 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641363.2271392 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641363.2782578 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641363.347232 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641363.4212625 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641363.4888911 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641363.5416126 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641363.6092043 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641363.6819355 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641363.749074 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641363.8013809 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641363.869553 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641363.9440095 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641364.0132027 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641364.065205 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641364.1340864 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641364.2071729 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641364.2788427 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641364.332065 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641364.4005826 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641364.4734416 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641364.5407915 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641364.590613 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641364.6597123 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641364.732076 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641364.8010824 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641364.8522255 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641364.9215016 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641364.995102 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641365.0692096 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641365.1196535 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641365.1921701 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641365.2655823 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641365.3481627 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641365.398587 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641365.4655209 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641365.5385504 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641365.6068885 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641365.6589575 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641365.7274292 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641365.7998734 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641365.8687687 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641365.9203093 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641365.9884794 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641366.0617013 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641366.1297224 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641366.1808403 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641366.2488348 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641366.3230376 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641366.397169 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641366.449284 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641366.516652 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641366.588982 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641366.6583266 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641366.710947 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641366.777924 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641366.8521743 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641366.9215066 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641366.974908 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641367.0453258 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641367.1188076 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641367.189471 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641367.241344 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641367.3092508 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641367.3847728 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641367.4612017 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641367.5132499 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641367.5805712 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641367.653706 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641367.7207425 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641367.771414 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641367.8371308 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641367.909334 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641367.9776866 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641368.031156 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641368.0976026 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641368.1691027 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641368.2378013 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641368.2905855 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641368.3596585 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641368.4353905 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641368.5114937 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641368.5616338 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641368.6294277 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641368.7043803 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641368.7720177 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641368.8237474 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641368.8925047 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641368.9640925 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641369.033595 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641369.0843997 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641369.1511104 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641369.2238662 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641369.29235 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641369.3444345 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641369.4131522 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641369.4864702 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641369.5575497 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641369.60947 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641369.6762872 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641369.7495053 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641369.827994 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641369.8934615 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641369.9643202 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641370.0708394 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641370.143523 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641370.2085316 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641370.2771058 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641370.3524888 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641370.4220643 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641370.4740949 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641370.5456305 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641370.6322196 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641370.7013166 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641370.7531128 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641370.8221862 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641370.8964248 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641370.9643075 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641371.0162675 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641371.083346 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641371.157878 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641371.2251978 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641371.2759287 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641371.34485 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641371.419129 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641371.486891 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641371.5385337 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641371.6132433 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641371.7067943 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641371.7745438 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641371.824196 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641371.8910651 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641371.964119 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641372.032256 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641372.0826538 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641372.150718 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641372.2238977 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641372.2913418 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641372.3436048 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641372.4137876 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641372.4880223 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641372.5563087 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641372.6068478 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641372.6747339 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641372.7565637 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641372.825943 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641372.877074 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641372.9463742 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641373.0193686 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641373.088429 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641373.1405222 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641373.2100878 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641373.282722 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641373.3494027 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641373.4010496 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641373.4750814 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641373.5531235 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641373.6245599 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641373.6754906 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641373.7492137 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641373.8354108 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641373.9026048 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641373.9531655 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641374.0243926 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641374.0968716 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641374.1628568 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641374.2138186 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641374.2803578 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641374.3533096 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641374.4232223 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641374.4766014 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641374.5457122 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641374.617337 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641374.6868107 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641374.737548 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641374.811692 Pos: [9.21600258 0.         0.3143156 ] angle 0.5294572558803837
time=1655641374.885635 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
time=1655641374.9545135 Pos: [9.25052583 0.         0.294113  ] angle 0.5294572558803837
