[rosmaster.main][INFO] 2020-03-30 21:14:51,766: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-03-30 21:14:51,766: Starting ROS Master Node
[xmlrpc][INFO] 2020-03-30 21:14:51,767: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-03-30 21:14:51,767: Started XML-RPC server [http://8af4dc85ce4d:11311/]
[rosmaster.master][INFO] 2020-03-30 21:14:51,767: Master initialized: port[11311], uri[http://8af4dc85ce4d:11311/]
[xmlrpc][INFO] 2020-03-30 21:14:51,767: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-03-30 21:14:51,821: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-03-30 21:14:51,826: +PARAM [/roslaunch/uris/host_8af4dc85ce4d__45965] by /roslaunch
[rosmaster.master][INFO] 2020-03-30 21:14:51,882: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-03-30 21:14:51,882: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-03-30 21:14:51,916: +SERVICE [/rosout/get_loggers] /rosout http://8af4dc85ce4d:34955/
[rosmaster.master][INFO] 2020-03-30 21:14:51,916: +SERVICE [/rosout/set_logger_level] /rosout http://8af4dc85ce4d:34955/
[rosmaster.master][INFO] 2020-03-30 21:14:51,918: +PUB [/rosout_agg] /rosout http://8af4dc85ce4d:34955/
[rosmaster.master][INFO] 2020-03-30 21:14:51,920: +SUB [/rosout] /rosout http://8af4dc85ce4d:34955/
[rosmaster.master][INFO] 2020-03-30 21:14:52,116: -PUB [/rosout_agg] /rosout http://8af4dc85ce4d:34955/
[rosmaster.master][INFO] 2020-03-30 21:14:52,117: -SUB [/rosout] /rosout http://8af4dc85ce4d:34955/
[rosmaster.master][INFO] 2020-03-30 21:14:52,117: -SERVICE [/rosout/get_loggers] /rosout rosrpc://8af4dc85ce4d:47891
[rosmaster.master][INFO] 2020-03-30 21:14:52,117: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://8af4dc85ce4d:47891
[rosmaster.main][INFO] 2020-03-30 21:14:52,186: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-03-30 21:14:52,187: stopping master...
[rospy.core][INFO] 2020-03-30 21:14:52,188: signal_shutdown [atexit]
