[rosmaster.main][INFO] 2020-09-02 09:52:43,793: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-02 09:52:43,793: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-02 09:52:43,794: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-09-02 09:52:43,794: Started XML-RPC server [http://380d98219208:11311/]
[rosmaster.master][INFO] 2020-09-02 09:52:43,794: Master initialized: port[11311], uri[http://380d98219208:11311/]
[xmlrpc][INFO] 2020-09-02 09:52:43,795: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-02 09:52:43,843: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-02 09:52:43,844: +PARAM [/roslaunch/uris/host_380d98219208__36449] by /roslaunch
[rosmaster.master][INFO] 2020-09-02 09:52:43,885: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-09-02 09:52:43,886: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-09-02 09:52:43,903: +SERVICE [/rosout/get_loggers] /rosout http://380d98219208:43283/
[rosmaster.master][INFO] 2020-09-02 09:52:43,904: +SERVICE [/rosout/set_logger_level] /rosout http://380d98219208:43283/
[rosmaster.master][INFO] 2020-09-02 09:52:43,905: +PUB [/rosout_agg] /rosout http://380d98219208:43283/
[rosmaster.master][INFO] 2020-09-02 09:52:43,907: +SUB [/rosout] /rosout http://380d98219208:43283/
[rosmaster.master][INFO] 2020-09-02 09:52:44,105: -PUB [/rosout_agg] /rosout http://380d98219208:43283/
[rosmaster.master][INFO] 2020-09-02 09:52:44,106: -SUB [/rosout] /rosout http://380d98219208:43283/
[rosmaster.master][INFO] 2020-09-02 09:52:44,106: -SERVICE [/rosout/get_loggers] /rosout rosrpc://380d98219208:33469
[rosmaster.master][INFO] 2020-09-02 09:52:44,107: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://380d98219208:33469
[rosmaster.main][INFO] 2020-09-02 09:52:44,118: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-09-02 09:52:44,118: stopping master...
[rospy.core][INFO] 2020-09-02 09:52:44,118: signal_shutdown [atexit]
